target_id	length	eff_length	Ahyp_4	Ahyp_4_tpm
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	125.574	22	3.10205
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	297.548	329.012	19.5786
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	941.991	1	0.0187966
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1139.99	40.9807	0.636508
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1115.99	77.8607	1.23533
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	498.126	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	917.991	203.974	3.93426
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2669.99	162.962	1.08069
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	276.729	77.1024	4.93332
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1238.99	2.12268	0.0303349
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	588.107	27.6265	0.831756
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4235.99	241.966	1.01141
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	366.292	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1253.99	30.1323	0.425465
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	250.05	47	3.3281
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	492.126	0.000151321	5.4444e-06
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1013.99	165.703	2.89349
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	807.018	0	0
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	83.1488	11.261	2.398
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	615.107	0	0
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	678.044	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	147.011	2.0068	0.241702
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	992.991	59.4715	1.06045
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	255.916	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	486.142	23	0.837704
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	684.044	179.669	4.65066
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	702.044	0	0
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	52.8221	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1214.99	4.82794	0.0703583
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	294.578	0	0
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	735.044	65.813	1.58535
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1148.99	32.3984	0.499267
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	169.329	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	163.702	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1703.99	52.5	0.545529
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	87.8638	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	432.172	148.209	6.07217
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1751.99	38	0.384041
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	147.011	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	426.201	43.3333	1.80025
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1166.99	65.6548	0.99615
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	426.201	44	1.82795
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	923.991	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	732.044	0	0
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1028.99	342	5.88492
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1340.99	17.2613	0.227915
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2624.99	1558.91	10.5152
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1085.99	1	0.0163042
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1097.99	0	0
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	99.8761	20.6325	3.65777
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	393.241	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2627.99	35.549	0.239513
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1292.99	41	0.561454
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	125.574	3	0.423007
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1937.99	776.122	7.09094
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1967.99	229.217	2.06229
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	696.044	128.204	3.2613
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2543.99	103.288	0.718886
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	244.199	0	0
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	50.8145	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	177.83	5.18168	0.515931
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1598.99	3.44804	0.0381815
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1226.99	48	0.692669
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	378.279	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	935.991	0	0
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1298.99	138.608	1.88933
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	504.126	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	102.401	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	798.018	527.501	11.7041
arahy.Tifrunner.gnm2.ann1.9Z6I10.1	585	402.214	142.558	6.27567
arahy.Tifrunner.gnm2.ann1.IFCS5G.1	267	97.4486	0	0
arahy.Tifrunner.gnm2.ann1.2R0TK7.1	1206	1022.99	101.91	1.76389
arahy.Tifrunner.gnm2.ann1.5497SD.1	1221	1037.99	224.817	3.83497
arahy.Tifrunner.gnm2.ann1.RWWV81.1	1830	1646.99	253.772	2.72822
arahy.Tifrunner.gnm2.ann1.NRRA5I.1	243	78.4738	0	0
arahy.Tifrunner.gnm2.ann1.1QRJ4L.1	729	546.126	0	0
arahy.Tifrunner.gnm2.ann1.T35FHV.1	3006	2822.99	264.489	1.65892
arahy.Tifrunner.gnm2.ann1.Y4UZBH.1	264	95.0466	10	1.8629
arahy.Tifrunner.gnm2.ann1.2PS7IJ.1	1317	1133.99	3.20125	0.0499845
arahy.Tifrunner.gnm2.ann1.CGBE6F.1	4539	4355.99	22.5135	0.0915129
arahy.Tifrunner.gnm2.ann1.LT4TK7.1	699	516.126	0	0
arahy.Tifrunner.gnm2.ann1.W1607K.1	1392	1208.99	17	0.248973
arahy.Tifrunner.gnm2.ann1.71FTPI.1	1113	929.991	0	0
arahy.Tifrunner.gnm2.ann1.PRFH10.1	237	73.8118	0	0
arahy.Tifrunner.gnm2.ann1.I2ZJD2.1	663	480.142	71.8017	2.64783
arahy.Tifrunner.gnm2.ann1.U81MKX.1	1965	1781.99	134.891	1.34031
arahy.Tifrunner.gnm2.ann1.HVKI9W.1	1704	1520.99	55.1879	0.642456
arahy.Tifrunner.gnm2.ann1.820J93.1	1269	1085.99	21	0.342388
arahy.Tifrunner.gnm2.ann1.DP3R7M.1	1707	1523.99	26.84	0.311836
arahy.Tifrunner.gnm2.ann1.SR535B.1	735	552.126	25.368	0.81353
arahy.Tifrunner.gnm2.ann1.81UYU3.2	1056	872.991	3.00417	0.0609314
arahy.Tifrunner.gnm2.ann1.X7WWLG.1	2733	2549.99	0	0
arahy.Tifrunner.gnm2.ann1.DI7635.1	831	648.065	19.4999	0.532769
arahy.Tifrunner.gnm2.ann1.CCNW4C.1	1464	1280.99	1	0.0138223
arahy.Tifrunner.gnm2.ann1.EWV5Y4.1	672	489.126	172.829	6.25636
arahy.Tifrunner.gnm2.ann1.CACA61.1	2019	1835.99	2.04411	0.0197134
arahy.Tifrunner.gnm2.ann1.7CLK78.1	1821	1637.99	14.9796	0.161925
arahy.Tifrunner.gnm2.ann1.IMB0BX.1	546	363.292	0	0
arahy.Tifrunner.gnm2.ann1.UKC1QQ.1	1956	1772.99	392.835	3.9231
arahy.Tifrunner.gnm2.ann1.YF6UR5.1	504	321.384	11.3487	0.625244
arahy.Tifrunner.gnm2.ann1.JML2SU.1	1878	1694.99	5	0.052231
arahy.Tifrunner.gnm2.ann1.ZLV99U.2	1692	1508.99	28.2107	0.331019
arahy.Tifrunner.gnm2.ann1.2LQ1ZN.1	1791	1607.99	105.122	1.15754
arahy.Tifrunner.gnm2.ann1.80YKV9.1	276	104.864	51.3083	8.66336
arahy.Tifrunner.gnm2.ann1.SQH7P6.1	1056	872.991	3.38126	0.0685796
arahy.Tifrunner.gnm2.ann1.J522ZU.2	1335	1151.99	0	0
arahy.Tifrunner.gnm2.ann1.ZAH2CS.1	408	226.617	1.38799	0.108447
arahy.Tifrunner.gnm2.ann1.2ACH3L.1	315	138.894	0	0
arahy.Tifrunner.gnm2.ann1.G7HP2Z.1	1029	845.991	160.005	3.34884
arahy.Tifrunner.gnm2.ann1.EID17C.1	558	375.279	0	0
arahy.Tifrunner.gnm2.ann1.4T50W5.1	408	226.617	1	0.0781328
arahy.Tifrunner.gnm2.ann1.0JI0VP.1	2361	2177.99	81.4286	0.661983
arahy.Tifrunner.gnm2.ann1.Y9YBLC.1	1602	1418.99	88.9003	1.1093
arahy.Tifrunner.gnm2.ann1.FHI9NT.1	3663	3479.99	0	0
arahy.Tifrunner.gnm2.ann1.SDFW30.1	198	46.8609	0	0
arahy.Tifrunner.gnm2.ann1.5K2DU6.1	723	540.126	0	0
arahy.Tifrunner.gnm2.ann1.HA0JIQ.1	690	507.126	596.443	20.8247
arahy.Tifrunner.gnm2.ann1.B2J3A8.1	342	163.702	0	0
arahy.Tifrunner.gnm2.ann1.E9UMEP.1	1089	905.991	0	0
arahy.Tifrunner.gnm2.ann1.6959VQ.1	360	180.679	3.41782	0.334941
arahy.Tifrunner.gnm2.ann1.FWV18L.1	1788	1604.99	62.0333	0.684351
arahy.Tifrunner.gnm2.ann1.N4DGME.1	267	97.4486	0	0
arahy.Tifrunner.gnm2.ann1.DD48CX.1	588	405.214	54	2.35958
arahy.Tifrunner.gnm2.ann1.VCFG2H.1	474	291.578	0	0
arahy.Tifrunner.gnm2.ann1.F8XE83.1	516	333.384	0	0
arahy.Tifrunner.gnm2.ann1.8WED6E.1	1125	941.991	1	0.0187966
arahy.Tifrunner.gnm2.ann1.BL8T0D.1	1527	1343.99	270.206	3.55979
arahy.Tifrunner.gnm2.ann1.4AYI8M.1	1641	1457.99	119.718	1.45389
arahy.Tifrunner.gnm2.ann1.54P96V.1	1422	1238.99	10	0.142908
arahy.Tifrunner.gnm2.ann1.CC4WIG.1	462	279.682	0	0
arahy.Tifrunner.gnm2.ann1.PRSK66.1	1638	1454.99	0	0
arahy.Tifrunner.gnm2.ann1.6C9V7B.1	477	294.578	25	1.50268
arahy.Tifrunner.gnm2.ann1.KC9LFP.1	234	71.5721	0	0
arahy.Tifrunner.gnm2.ann1.NK8034.1	1155	971.991	1	0.0182165
arahy.Tifrunner.gnm2.ann1.T02M6I.1	1557	1373.99	41.8798	0.539693
arahy.Tifrunner.gnm2.ann1.N3C08T.1	1350	1166.99	6	0.0910353
arahy.Tifrunner.gnm2.ann1.A8YQ06.1	1401	1217.99	28	0.407043
arahy.Tifrunner.gnm2.ann1.0AB4R7.1	1542	1358.99	51.3948	0.66962
arahy.Tifrunner.gnm2.ann1.FVFA65.1	1113	929.991	2.11979	0.0403589
arahy.Tifrunner.gnm2.ann1.KKZ0LN.1	633	450.157	37.4247	1.47204
arahy.Tifrunner.gnm2.ann1.7K8IWY.1	879	696.044	4	0.101754
arahy.Tifrunner.gnm2.ann1.G6BTHS.1	3468	3284.99	0	0
arahy.Tifrunner.gnm2.ann1.51INSQ.1	1431	1247.99	162	2.29842
arahy.Tifrunner.gnm2.ann1.47DXFL.1	969	786.018	42.9302	0.967067
arahy.Tifrunner.gnm2.ann1.N76PQP.1	1119	935.991	351.519	6.64971
arahy.Tifrunner.gnm2.ann1.RL0B30.1	756	573.107	1438.22	44.4339
arahy.Tifrunner.gnm2.ann1.D2UEQ8.1	249	83.1488	5	1.06473
arahy.Tifrunner.gnm2.ann1.5KI8FH.1	1278	1094.99	13.4557	0.217581
arahy.Tifrunner.gnm2.ann1.ITS9LF.1	1392	1208.99	136.963	2.00589
arahy.Tifrunner.gnm2.ann1.WF7TJ5.1	1506	1322.99	40.0197	0.535603
arahy.Tifrunner.gnm2.ann1.P4LK2T.1	1314	1130.99	338.118	5.29341
arahy.Tifrunner.gnm2.ann1.SQM22L.1	843	660.044	28	0.751123
arahy.Tifrunner.gnm2.ann1.51ZP46.1	2544	2360.99	371.576	2.78663
arahy.Tifrunner.gnm2.ann1.XHZZ6B.1	957	774.018	2	0.0457515
arahy.Tifrunner.gnm2.ann1.L7KCN6.1	1497	1313.99	126.721	1.70758
arahy.Tifrunner.gnm2.ann1.IZ6ERU.1	552	369.292	0	0
arahy.Tifrunner.gnm2.ann1.DFQ1AC.1	1686	1502.99	156.178	1.83988
arahy.Tifrunner.gnm2.ann1.DB5N6F.1	468	285.626	0	0
arahy.Tifrunner.gnm2.ann1.JQTE0Q.1	702	519.126	21	0.716263
arahy.Tifrunner.gnm2.ann1.QUQ0BV.1	273	102.401	0	0
arahy.Tifrunner.gnm2.ann1.LG0JC8.1	255	87.8638	0	0
arahy.Tifrunner.gnm2.ann1.K4K5W1.1	426	244.199	88.7437	6.43456
arahy.Tifrunner.gnm2.ann1.MZH3JZ.1	207	52.8221	20	6.7041
arahy.Tifrunner.gnm2.ann1.8HB0N1.1	249	83.1488	12.7209	2.70887
arahy.Tifrunner.gnm2.ann1.J2QE2W.1	237	73.8118	0	0
arahy.Tifrunner.gnm2.ann1.A3328F.1	1245	1061.99	0	0
arahy.Tifrunner.gnm2.ann1.NX7S1R.1	984	801.018	163.361	3.61105
arahy.Tifrunner.gnm2.ann1.7DDS65.1	894	711.044	58.4328	1.45508
arahy.Tifrunner.gnm2.ann1.K7Q4QF.2	1749	1565.99	70.489	0.796999
arahy.Tifrunner.gnm2.ann1.G8VJVT.1	318	141.566	9	1.12566
arahy.Tifrunner.gnm2.ann1.7H1L6U.1	1425	1241.99	0	0
arahy.Tifrunner.gnm2.ann1.HU2SAR.1	2196	2012.99	177.749	1.56347
arahy.Tifrunner.gnm2.ann1.77VAAJ.1	318	141.566	0	0
arahy.Tifrunner.gnm2.ann1.T5R681.1	1035	851.991	9	0.18704
arahy.Tifrunner.gnm2.ann1.R7DR20.1	654	471.142	0	0
arahy.Tifrunner.gnm2.ann1.8RJT4U.1	2784	2600.99	9.14397	0.0622475
arahy.Tifrunner.gnm2.ann1.795G7S.1	3513	3329.99	118.235	0.628679
arahy.Tifrunner.gnm2.ann1.YRJ5WN.1	2040	1856.99	9.38283	0.0894644
arahy.Tifrunner.gnm2.ann1.DJ3X7X.1	939	756.044	0	0
arahy.Tifrunner.gnm2.ann1.17J2CG.1	357	177.83	28	2.78791
arahy.Tifrunner.gnm2.ann1.XN38V0.1	2016	1832.99	2	0.0193195
arahy.Tifrunner.gnm2.ann1.3D0BCV.1	507	324.384	112.548	6.14334
arahy.Tifrunner.gnm2.ann1.LX9R2K.1	234	71.5721	57.3798	14.1952
arahy.Tifrunner.gnm2.ann1.5KC586.1_arahy.Tifrunner.gnm2.ann1.SZ7D6R.1	2781	2597.99	48	0.327137
arahy.Tifrunner.gnm2.ann1.C7GQ4M.1	255	87.8638	0	0
arahy.Tifrunner.gnm2.ann1.49BA8H.1	750	567.107	0	0
arahy.Tifrunner.gnm2.ann1.4N5B4T.1	1116	932.991	1.98027	0.0375815
arahy.Tifrunner.gnm2.ann1.5T40TZ.1_arahy.Tifrunner.gnm2.ann1.TXPA6B.1	216	58.92	51.42	15.4524
arahy.Tifrunner.gnm2.ann1.CL7A41.1	873	690.044	42.3198	1.08591
arahy.Tifrunner.gnm2.ann1.K3FM2H.1	456	273.747	50.6475	3.27593
arahy.Tifrunner.gnm2.ann1.2PAI1Q.1	435	252.949	1	0.0699991
arahy.Tifrunner.gnm2.ann1.CRH8J7.1	867	684.044	9	0.232962
arahy.Tifrunner.gnm2.ann1.U71V3Q.1	294	120.267	0	0
arahy.Tifrunner.gnm2.ann1.15TI10.1	933	750.044	0	0
arahy.Tifrunner.gnm2.ann1.3H4E4J.1	726	543.126	0	0
arahy.Tifrunner.gnm2.ann1.M35B2F.1	1464	1280.99	37.8	0.522482
arahy.Tifrunner.gnm2.ann1.TBPN76.1	696	513.126	0	0
arahy.Tifrunner.gnm2.ann1.X51C4T.1	894	711.044	296.264	7.3775
arahy.Tifrunner.gnm2.ann1.PR2XBZ.1	6309	6125.99	111.813	0.323177
arahy.Tifrunner.gnm2.ann1.Z89DQ4.1	240	76.0957	56.302	13.1006
arahy.Tifrunner.gnm2.ann1.DBN754.1	1359	1175.99	79.9948	1.20444
arahy.Tifrunner.gnm2.ann1.F9PCC2.1	3771	3587.99	228.985	1.13001
arahy.Tifrunner.gnm2.ann1.1VS4ZL.1	1785	1601.99	42.5	0.469737
arahy.Tifrunner.gnm2.ann1.FV1M10.1	1008	824.991	0	0
arahy.Tifrunner.gnm2.ann1.IUT8LB.1	723	540.126	207.271	6.7947
arahy.Tifrunner.gnm2.ann1.AGM2GS.1	1683	1499.99	965.447	11.3964
arahy.Tifrunner.gnm2.ann1.JI0RX7.1	771	588.107	147.866	4.45182
arahy.Tifrunner.gnm2.ann1.Q4RD5Q.1	1482	1298.99	17	0.231723
arahy.Tifrunner.gnm2.ann1.V2ETSI.1	2346	2162.99	6439.57	52.7142
arahy.Tifrunner.gnm2.ann1.SRBD8N.1	585	402.214	0	0
arahy.Tifrunner.gnm2.ann1.N9GBWE.1	375	194.827	0	0
arahy.Tifrunner.gnm2.ann1.W0LIHS.1	1293	1109.99	244.838	3.90557
arahy.Tifrunner.gnm2.ann1.4I1DT6.1	267	97.4486	3	0.545094
arahy.Tifrunner.gnm2.ann1.NV9TN2.1	1836	1652.99	0	0
arahy.Tifrunner.gnm2.ann1.578M4A.1	2766	2582.99	79.3453	0.543906
arahy.Tifrunner.gnm2.ann1.E8CC8A.1	2907	2723.99	4369.62	28.403
arahy.Tifrunner.gnm2.ann1.PN9ZPA.1	2730	2546.99	2.06069	0.0143255
arahy.Tifrunner.gnm2.ann1.AM8RJL.1	714	531.126	0	0
arahy.Tifrunner.gnm2.ann1.MB4X9A.1	540	357.292	0	0
arahy.Tifrunner.gnm2.ann1.Z32ZXD.1	1995	1811.99	199.858	1.95295
arahy.Tifrunner.gnm2.ann1.CYZ3KW.1	639	456.157	20.4998	0.795723
arahy.Tifrunner.gnm2.ann1.BY5KCT.1	1338	1154.99	9.08503	0.139275
arahy.Tifrunner.gnm2.ann1.FN76PE.1	864	681.044	92.2692	2.39888
arahy.Tifrunner.gnm2.ann1.15R771.1_arahy.Tifrunner.gnm2.ann1.VY88A6.1	594	411.214	0	0
arahy.Tifrunner.gnm2.ann1.IEL8E2.1	456	273.747	0	0
arahy.Tifrunner.gnm2.ann1.EW9XPE.1	696	513.126	0	0
arahy.Tifrunner.gnm2.ann1.1UR5KM.1	825	642.065	0	0
arahy.Tifrunner.gnm2.ann1.QNIR3T.1	426	244.199	1.50453	0.109089
arahy.Tifrunner.gnm2.ann1.G4TSN0.1	606	423.201	0	0
arahy.Tifrunner.gnm2.ann1.88Y1ZI.1	1659	1475.99	229.005	2.74718
arahy.Tifrunner.gnm2.ann1.ECK8LG.1	2130	1946.99	6903.7	62.7833
arahy.Tifrunner.gnm2.ann1.42ZGCT.1	654	471.142	3	0.112744
arahy.Tifrunner.gnm2.ann1.S3CVLX.1	897	714.044	7.71911	0.191412
arahy.Tifrunner.gnm2.ann1.HDM8J3.1	876	693.044	0	0
arahy.Tifrunner.gnm2.ann1.QS6CEN.1	1479	1295.99	0	0
arahy.Tifrunner.gnm2.ann1.MAV50X.1	429	247.166	13	0.931279
arahy.Tifrunner.gnm2.ann1.I9WEFC.1	2001	1817.99	2	0.0194789
arahy.Tifrunner.gnm2.ann1.HE7HHG.1	1854	1670.99	219.492	2.32579
arahy.Tifrunner.gnm2.ann1.B0S4UE.1	534	351.327	43	2.16712
arahy.Tifrunner.gnm2.ann1.0KX8XR.1	573	390.241	0	0
arahy.Tifrunner.gnm2.ann1.DI08LN.1	477	294.578	4.47103	0.268741
arahy.Tifrunner.gnm2.ann1.IE22H8.1_arahy.Tifrunner.gnm2.ann1.KWS21K.1	1167	983.991	561	10.0948
arahy.Tifrunner.gnm2.ann1.JY7X0W.1	690	507.126	6.25056	0.218237
arahy.Tifrunner.gnm2.ann1.4RGJ17.1	429	247.166	1.08581	0.0777839
arahy.Tifrunner.gnm2.ann1.HV4IE8.1	861	678.044	130.667	3.41219
arahy.Tifrunner.gnm2.ann1.DQ97IN.1	414	232.486	0	0
arahy.Tifrunner.gnm2.ann1.X80BEN.1	366	186.308	0	0
arahy.Tifrunner.gnm2.ann1.0FI6RG.1	1143	959.991	10.1504	0.187216
arahy.Tifrunner.gnm2.ann1.U2FY0G.1	1053	869.991	82.575	1.68058
arahy.Tifrunner.gnm2.ann1.2Y8ZXL.1	603	420.201	0	0
arahy.Tifrunner.gnm2.ann1.PD4MQY.1	570	387.267	16.8435	0.7701
arahy.Tifrunner.gnm2.ann1.C7Z6YQ.1	1446	1262.99	888.651	12.4583
arahy.Tifrunner.gnm2.ann1.R869CP.1	2184	2000.99	108.488	0.959978
arahy.Tifrunner.gnm2.ann1.3L2L0Y.1	918	735.044	0	0
arahy.Tifrunner.gnm2.ann1.EZ74NH.1	1662	1478.99	0	0
arahy.Tifrunner.gnm2.ann1.09HRLI.1	1491	1307.99	112.031	1.51655
arahy.Tifrunner.gnm2.ann1.NJ2GVX.1	591	408.214	0	0
arahy.Tifrunner.gnm2.ann1.5HRA6T.1	450	267.828	1	0.0661104
arahy.Tifrunner.gnm2.ann1.V64ZKA.1	2775	2591.99	161.136	1.10074
arahy.Tifrunner.gnm2.ann1.ZG7FH2.1	681	498.126	0	0
arahy.Tifrunner.gnm2.ann1.G4V3K2.1	1710	1526.99	7	0.0811685
arahy.Tifrunner.gnm2.ann1.AR5SA1.1	1086	902.991	2.01804	0.0395706
arahy.Tifrunner.gnm2.ann1.88WVD3.1	3822	3638.99	0.00470408	2.28886e-05
arahy.Tifrunner.gnm2.ann1.7ZS4RD.1	783	600.107	56.768	1.67495
arahy.Tifrunner.gnm2.ann1.NLQ59B.1	945	762.044	0	0
arahy.Tifrunner.gnm2.ann1.CZ3U7F.1	1248	1064.99	68.1683	1.13335
arahy.Tifrunner.gnm2.ann1.4JBV7I.1	1557	1373.99	0	0
arahy.Tifrunner.gnm2.ann1.U3ELQH.1	1335	1151.99	0	0
arahy.Tifrunner.gnm2.ann1.K8VWCH.1	675	492.126	42.6341	1.53394
arahy.Tifrunner.gnm2.ann1.6Y2RBK.1	1281	1097.99	0	0
arahy.Tifrunner.gnm2.ann1.0IT1NR.1	1890	1706.99	286.487	2.97166
arahy.Tifrunner.gnm2.ann1.ET9IK9.1	357	177.83	0	0
arahy.Tifrunner.gnm2.ann1.EU7MKH.1	2478	2294.99	12.3529	0.0953049
arahy.Tifrunner.gnm2.ann1.Y12SSB.1	2343	2159.99	81.6284	0.669137
arahy.Tifrunner.gnm2.ann1.GSAX37.1	192	43.4765	0	0
arahy.Tifrunner.gnm2.ann1.9QDW33.1	477	294.578	4	0.240429
arahy.Tifrunner.gnm2.ann1.0ZR0UF.1	720	537.126	1.13178	0.0373087
arahy.Tifrunner.gnm2.ann1.P9L48X.1	2091	1907.99	70.3592	0.652936
arahy.Tifrunner.gnm2.ann1.B9ZYY9.1	336	158.063	0	0
arahy.Tifrunner.gnm2.ann1.SD5K22.1	639	456.157	0	0
arahy.Tifrunner.gnm2.ann1.DXS72A.1	831	648.065	1418.82	38.7646
arahy.Tifrunner.gnm2.ann1.716FEW.1	378	197.682	0	0
arahy.Tifrunner.gnm2.ann1.Z1QYPE.1	2556	2372.99	260.266	1.94199
arahy.Tifrunner.gnm2.ann1.9A3CPP.1	1923	1739.99	56.16	0.571487
arahy.Tifrunner.gnm2.ann1.4I2UMQ.1	2403	2219.99	5.58301	0.044529
arahy.Tifrunner.gnm2.ann1.B5SVB5.1	606	423.201	0	0
arahy.Tifrunner.gnm2.ann1.B7IPL1.1	990	807.018	2	0.0438806
arahy.Tifrunner.gnm2.ann1.L6LFU0.2	1776	1592.99	8	0.0889207
arahy.Tifrunner.gnm2.ann1.G7J9WL.1	786	603.107	31.1176	0.913563
arahy.Tifrunner.gnm2.ann1.YY6LCE.1	882	699.044	94.4825	2.39317
arahy.Tifrunner.gnm2.ann1.XVFR0N.1	243	78.4738	36.6923	8.27897
arahy.Tifrunner.gnm2.ann1.IXK305.1_arahy.Tifrunner.gnm2.ann1.VB8FSW.1	1470	1286.99	37	0.50904
arahy.Tifrunner.gnm2.ann1.TFIN41.1	1080	896.991	302.517	5.97156
arahy.Tifrunner.gnm2.ann1.K6L3AX.2	1491	1307.99	105.32	1.42571
arahy.Tifrunner.gnm2.ann1.CHY9ZA.1	1401	1217.99	0	0
