target_id	length	eff_length	Cq_4	Cq_4_tpm
AUR62008175	2397	2210.55	32.9124	0.15498
AUR62007627	1707	1520.55	4	0.0273826
AUR62030502	2913	2726.55	1	0.00381771
AUR62016035	1179	992.551	256.257	2.68744
AUR62034753	1461	1274.55	2.2637	0.0184875
AUR62007030	399	214.873	77.7145	3.76475
AUR62014718	1938	1751.55	66	0.392227
AUR62011359	1158	971.551	30	0.321419
AUR62026796	1119	932.551	46.8662	0.523122
AUR62016163	1827	1640.55	189.934	1.20512
AUR62031994	396	212.072	3	0.14725
AUR62009627	606	419.643	140.443	3.48367
AUR62008062	1863	1676.55	615	3.81834
AUR62033802	1983	1796.55	2	0.011588
AUR62036002	1872	1685.55	1261.7	7.79167
AUR62027042	276	102.089	0	0
AUR62024684	441	255.846	274.628	11.1733
AUR62029815	747	560.565	65	1.20699
AUR62032015	801	614.551	0	0
AUR62042775	1731	1544.55	90	0.606536
AUR62004484	1362	1175.55	115.343	1.02133
AUR62024729	1425	1238.55	0	0
AUR62019051	909	722.551	157.22	2.26493
AUR62001856	717	530.565	12	0.235428
AUR62035922	534	347.849	0	0
AUR62029837	684	497.565	3	0.0627606
AUR62022751	2289	2102.55	141.139	0.698743
AUR62044218	1704	1517.55	0	0
AUR62003068	1014	827.551	0	0
AUR62042025	2775	2588.55	10	0.0402124
AUR62003200	1311	1124.55	226.385	2.09549
AUR62040942	549	362.822	0	0
AUR62026324	1185	998.551	311.307	3.24515
AUR62026273	1383	1196.55	0	0
AUR62033474	984	797.551	6	0.0783085
AUR62027989	1185	998.551	0	0
AUR62034232	3750	3563.55	114.067	0.33319
AUR62040921	1065	878.551	145.931	1.72901
AUR62039242	1164	977.551	71	0.756023
AUR62011403	573	386.683	0	0
AUR62018499	696	509.565	251.829	5.14425
AUR62029465	549	362.822	0	0
AUR62020658	3603	3416.55	486.681	1.48277
AUR62030631	963	776.551	138.559	1.8573
AUR62017987	3336	3149.55	67	0.221433
AUR62038336	1569	1382.55	235.121	1.77021
AUR62001461	2013	1826.55	0	0
AUR62022544	10770	10583.6	0	0
AUR62023272	1449	1262.55	189.382	1.56137
AUR62010605	693	506.565	10	0.205485
AUR62005029	1833	1646.55	202.819	1.28218
AUR62038111	1470	1283.55	426.382	3.45781
AUR62039479	255	85.2174	6	0.732891
AUR62003662	1989	1802.55	268.307	1.54939
AUR62005632	2742	2555.55	285.014	1.16091
AUR62028738	1224	1037.55	39.6029	0.397314
AUR62021407	504	318.131	26.4906	0.866767
AUR62033598	1716	1529.55	170.266	1.15873
AUR62005108	1011	824.551	26	0.328225
AUR62016442	1239	1052.55	42	0.415358
AUR62003956	1140	953.551	431.297	4.70814
AUR62013539	1215	1028.55	1106	11.193
AUR62036076	306	128.357	21.2727	1.72513
AUR62021682	270	97.1069	0.999999	0.107193
AUR62022122	807	620.551	2537	42.5559
AUR62024707	3840	3653.55	2036.71	5.8027
AUR62004902	915	728.551	10	0.142875
AUR62014599	1737	1550.55	0	0
AUR62040470	603	416.643	1744.22	43.5765
AUR62001519	294	117.651	121	10.7055
AUR62032625	1098	911.551	21	0.239803
AUR62036655	1908	1721.55	460.361	2.78352
AUR62036510	630	443.611	19	0.445828
AUR62023014	1995	1808.55	610.767	3.51529
AUR62040315	1662	1475.55	52.0539	0.367211
AUR62003339	1908	1721.55	7	0.0423248
AUR62029605	630	443.611	160.688	3.77047
AUR62023297	1119	932.551	54.402	0.607238
AUR62022881	279	104.635	3.05093	0.303508
AUR62018363	1200	1013.55	2.60067	0.0267089
AUR62010707	3156	2969.55	59	0.206813
AUR62041505	2574	2387.55	165	0.719362
AUR62035721	1782	1595.55	223.889	1.46063
AUR62010679	1506	1319.55	175.285	1.38272
AUR62032691	1224	1037.55	445	4.46444
AUR62042915	978	791.551	97.1957	1.27816
AUR62042167	792	605.551	128	2.20027
AUR62039368	3366	3179.55	68.5728	0.224493
AUR62033551	564	377.721	192.692	5.31018
AUR62006784	1089	902.551	3	0.0345992
AUR62028834	1416	1229.55	62	0.524882
AUR62025229	240	73.5596	0	0
AUR62003591	2097	1910.55	3	0.0163448
AUR62020263	1962	1775.55	184.849	1.08368
AUR62015042	294	117.651	0	0
AUR62021140	1230	1043.55	0	0
AUR62003735	2157	1970.55	77.5901	0.409859
AUR62023654	1773	1586.55	18.585	0.121934
AUR62010358	561	374.74	0	0
AUR62036585	1260	1073.55	92.4766	0.896655
AUR62009444	1521	1334.55	117.126	0.913555
AUR62005904	267	94.6393	0	0
AUR62027338	1062	875.551	0	0
AUR62031318	408	223.637	0	0
AUR62031756	990	803.551	29.7821	0.385797
AUR62023271	1182	995.551	39	0.407772
AUR62023142	2142	1955.55	0	0
AUR62002945	1425	1238.55	83.9943	0.705915
AUR62037145	1257	1070.55	192.572	1.87242
AUR62000386	630	443.611	12.7047	0.29811
AUR62043962	294	117.651	6	0.530851
AUR62000855	378	194.955	8	0.427142
AUR62006893	2137	1950.55	5	0.0266826
AUR62002017	552	365.786	51.1075	1.45437
AUR62005271	1119	932.551	38	0.424158
AUR62037594	402	217.737	612.979	29.3042
AUR62024005	1566	1379.55	525.068	3.96181
AUR62011817	2274	2087.55	59.5624	0.296997
AUR62037424	1956	1769.55	45.3703	0.266885
AUR62017415	585	398.654	0	0
AUR62011089	2394	2207.55	751.293	3.54254
AUR62035197	1584	1397.55	14	0.104274
AUR62035234	1551	1364.55	14.3889	0.109762
AUR62023739	813	626.551	0	0
AUR62004748	1428	1241.55	109	0.913857
AUR62000530	1458	1271.55	130.852	1.07118
AUR62014831	3003	2816.55	4	0.0147829
AUR62011309	261	89.9743	0	0
AUR62028400	363	180.791	1	0.0575756
AUR62022301	444	258.795	0	0
AUR62020884	837	650.551	471.981	7.55196
AUR62004039	1266	1079.55	11	0.106063
AUR62033115	4536	4349.55	0	0
AUR62015992	852	665.551	0	0
AUR62041309	2388	2201.55	2	0.00945622
AUR62010152	1854	1667.55	9	0.0561797
AUR62043388	321	141.782	0	0
AUR62025839	591	404.654	2	0.0514473
AUR62018776	2514	2327.55	8.78721	0.0392978
AUR62022144	1125	938.551	3.00375	0.0333137
AUR62005528	264	92.2871	81	9.13608
AUR62041023	489	303.177	0	0
AUR62018025	1749	1562.55	2	0.0133233
AUR62033800	390	206.282	19	0.958756
AUR62012422_AUR62026701_AUR62028492	2094	1907.55	0	0
AUR62029482	1710	1523.55	0	0
AUR62013166	3690	3503.55	1749.31	5.19725
AUR62002046	1125	938.551	265.319	2.94257
AUR62040750	261	89.9743	25.0245	2.8951
AUR62015862	306	128.357	71.5259	5.80044
AUR62042213	1302	1115.55	153.732	1.43447
AUR62021491	578	391.673	194.817	5.1775
AUR62026402	570	383.683	2514.85	68.2268
AUR62003635	984	797.551	58.9437	0.769299
AUR62016775	2403	2216.55	3.27361	0.0153732
AUR62000140	966	779.551	62.259	0.831331
AUR62006168	1224	1037.55	10	0.100324
AUR62003064	1569	1382.55	79.8491	0.601181
AUR62002776	1056	869.551	0	0
AUR62023835	1020	833.551	396.369	4.94976
AUR62019638	261	89.9743	0	0
AUR62002354	405	220.682	814	38.3949
AUR62041549	312	133.717	25	1.94612
AUR62037591	711	524.565	0	0
AUR62038604	435	249.973	116	4.83038
AUR62004746	1947	1760.55	127.559	0.754189
AUR62004580	360	177.982	15.6578	0.915735
AUR62005374	1206	1019.55	51.4707	0.525493
AUR62040666	1533	1346.55	1	0.00773025
AUR62007748	1563	1376.55	37.1607	0.281001
AUR62022983	1002	815.551	6.66667	0.0850891
AUR62018054	765	578.565	77	1.38533
AUR62013872	2001	1814.55	29	0.166359
AUR62024301	1923	1736.55	0	0
AUR62013617	483	297.229	28.3836	0.994011
AUR62007648	663	476.565	239	5.22025
AUR62043525	1368	1181.55	123.987	1.09229
AUR62003281	1006	819.551	0	0
AUR62041927	312	133.717	0	0
AUR62017734	489	303.177	10	0.343336
AUR62011945	765	578.565	328.329	5.90709
AUR62003095	3261	3074.55	56.7687	0.192196
AUR62040387	7902	7715.55	694.014	0.936306
AUR62039836	1206	1019.55	7462.09	76.1847
AUR62032512	1737	1550.55	640.409	4.2992
AUR62017440	1140	953.551	27.3971	0.299072
AUR62035670	1395	1208.55	34.087	0.293589
AUR62021777	945	758.551	65	0.891959
AUR62030056	1797	1610.55	55	0.355471
AUR62000517	315	136.405	22.4	1.70936
AUR62000789	1923	1736.55	247.471	1.48338
AUR62005540	840	653.551	26.0241	0.414489
AUR62011786	1563	1376.55	17	0.12855
AUR62008437	1359	1172.55	596	5.29092
AUR62016025	1590	1403.55	28.6443	0.212435
AUR62032769	1092	905.551	27.3979	0.314935
AUR62005789	1098	911.551	12.1647	0.138911
AUR62041304	1794	1607.55	0	0
AUR62005746	636	449.6	31	0.717714
AUR62010551	1470	1283.55	173.166	1.40432
AUR62039132	507	321.107	934.65	30.2981
AUR62028376	5478	5291.55	1146.73	2.25578
AUR62019608	486	300.185	0	0
AUR62020728	2547	2360.55	2	0.00881927
AUR62039837	4872	4685.55	228.22	0.507
AUR62018765	1839	1652.55	250.152	1.57567
AUR62028475	231	67.0005	0	0
AUR62014977	591	404.654	521.25	13.4084
AUR62029601	558	371.749	57	1.59603
AUR62003358	1002	815.551	3	0.0382901
AUR62004545	1374	1187.55	20	0.175305
AUR62015333	1707	1520.55	24	0.164296
AUR62015364	795	608.551	28.2277	0.48283
AUR62000714	3093	2906.55	0	0
AUR62023562	1035	848.551	0	0
AUR62027478	678	491.565	0	0
AUR62037378	1674	1487.55	1	0.00699752
AUR62023651	1803	1616.55	468.069	3.01395
AUR62033971	816	629.551	5	0.0826714
AUR62008182	1554	1367.55	30.0449	0.228688
AUR62014922	726	539.565	0	0
AUR62038429	2268	2081.55	104.89	0.524524
AUR62043111	675	488.565	223.308	4.75771
AUR62032828	438	252.929	28	1.15233
AUR62014318	1137	950.551	613.683	6.72024
AUR62012165	1806	1619.55	0	0
AUR62015979	1788	1601.55	89.1994	0.579746
AUR62036707	1398	1211.55	66.2447	0.569148
AUR62015379	714	527.565	113	2.22956
AUR62011237	1662	1475.55	0	0
AUR62022008	1563	1376.55	4	0.0302471
AUR62022103	1575	1388.55	213	1.59674
AUR62011870	861	674.551	28.762	0.443834
AUR62019121	471	285.382	76.4098	2.78701
AUR62022432	690	503.565	6	0.124026
AUR62037932	1191	1004.55	0	0
AUR62003795	1752	1565.55	14	0.0930844
AUR62034087	1026	839.551	115.605	1.43333
AUR62020548	1374	1187.55	15131.7	132.633
AUR62005979	396	212.072	0	0
AUR62031253	792	605.551	74	1.27203
AUR62003568	984	797.551	266	3.47168
AUR62041397	954	767.551	33.4182	0.453202
AUR62033643	912	725.551	0	0
AUR62024501	624	437.622	48	1.14172
AUR62013744	1836	1649.55	0	0
AUR62033545	1350	1163.55	0	0
AUR62027365	657	470.565	6	0.132723
AUR62024010	363	180.791	0	0
AUR62002088	573	386.683	28	0.753736
AUR62041609	1125	938.551	0	0
AUR62007985	3981	3794.55	37.274	0.10225
AUR62020827	3099	2912.55	144.476	0.516343
AUR62026598	1650	1463.55	79.0523	0.562241
AUR62022339	5598	5411.55	375.486	0.722251
AUR62035651	522	335.943	0	0
AUR62002108	459	273.522	30.7792	1.17134
AUR62028678	1317	1130.55	0	0
AUR62019534	1338	1151.55	208.91	1.88839
AUR62037659	1806	1619.55	29.8786	0.192036
AUR62005877	966	779.551	0	0
AUR62012901	996	809.551	20.2095	0.259852
AUR62026164	720	533.565	4	0.0780349
AUR62023321	1158	971.551	1038.27	11.124
AUR62024192	624	437.622	3	0.0713573
AUR62031310	2328	2141.55	37	0.179841
AUR62010490	1380	1193.55	2	0.0174424
AUR62013254	777	590.551	76.4059	1.34675
AUR62029181	735	548.565	5	0.0948763
AUR62036308	963	776.551	74.0348	0.99239
AUR62038809	1971	1784.55	0	0
AUR62017047	2061	1874.55	14.6234	0.0812023
AUR62039822	1926	1739.55	0	0
AUR62014253	354	172.406	19	1.14714
AUR62003480	267	94.6393	212.27	23.3472
AUR62010821	1086	899.551	180.874	2.09299
AUR62044356	2133	1946.55	19.0685	0.101969
AUR62038879	1383	1196.55	17.4556	0.151851
AUR62033387	3423	3236.55	209.242	0.67295
AUR62022634	1152	965.551	2	0.0215611
AUR62023070	624	437.622	175.803	4.1816
AUR62021703	1824	1637.55	0	0
AUR62031966	1071	884.551	10	0.117678
AUR62037114	522	335.943	8	0.24788
AUR62029172	1017	830.551	0	0
AUR62032450	903	716.551	130.135	1.89044
AUR62011679	525	338.917	19	0.583547
AUR62040313	816	629.551	90.0406	1.48876
AUR62017716	1821	1634.55	497.704	3.16949
AUR62021320	1185	998.551	122.291	1.2748
AUR62031003	485	299.2	0	0
AUR62035562	705	518.565	570.844	11.4586
AUR62013879	603	416.643	2047.97	51.1654
AUR62006239	456	270.542	1235.53	47.5372
AUR62000567	1029	842.551	75.3781	0.931248
AUR62041274	1722	1535.55	52.9393	0.358864
AUR62016397	1251	1064.55	70.9266	0.69352
AUR62025481	1296	1109.55	29	0.272061
AUR62037349	483	297.229	38	1.33079
AUR62040745	378	194.955	0	0
AUR62003162	669	482.565	87	1.87663
AUR62015843	738	551.565	0	0
AUR62016037	1934	1747.55	9.02872	0.053779
AUR62019055	1332	1145.55	6	0.0545197
AUR62013073	1497	1310.55	0	0
AUR62001579	1161	974.551	723.836	7.73129
AUR62034264	324	144.556	3	0.216023
AUR62011375	1563	1376.55	131.49	0.994298
AUR62008522	1698	1511.55	9.44584	0.065048
AUR62037646	2460	2273.55	34.5565	0.158213
AUR62019294	1338	1151.55	76.6583	0.692935
AUR62003422	1068	881.551	14.6957	0.173524
AUR62018082	606	419.643	0	0
AUR62010526	1482	1295.55	3	0.0241037
AUR62034511	3576	3389.55	0	0
AUR62024738	711	524.565	3	0.0595303
AUR62013931	1134	947.551	69	0.757989
AUR62033177	645	458.589	4	0.0907931
AUR62041940	579	392.663	133	3.52572
AUR62019013	339	158.328	78.2966	5.14755
AUR62038408	837	650.551	0	0
AUR62026339	591	404.654	0	0
AUR62029379	894	707.551	44.9654	0.661511
AUR62036932	546	359.822	0	0
AUR62009925	876	689.551	0	0
AUR62006739	360	177.982	51	2.9827
AUR62016802	2946	2759.55	103.654	0.390989
AUR62004610	1399	1212.55	443.809	3.80989
