target_id	length	eff_length	D5_4	D5_4_tpm
Gohir.A05G389500	1332	1147.01	156.824	1.41526
Gohir.D04G191000	1465	1280.01	250.875	2.02878
Gohir.D09G177200	1117	932.013	119.801	1.33055
Gohir.A05G171200	1945	1760.01	428.661	2.5211
Gohir.D07G144500	2265	2080.01	728	3.6229
Gohir.A02G131602	702	517.013	0	0
Gohir.D09G148200	468	283.938	0	0
Gohir.D13G169500	776	591.013	48	0.84069
Gohir.D05G061700	1906	1721.01	621.28	3.73676
Gohir.A10G138000	651	466.043	0	0
Gohir.D05G127800	2098	1913.01	820.646	4.44048
Gohir.A06G188000	545	360.41	0	0
Gohir.A04G136166	474	289.865	0	0
Gohir.D05G162100	1462	1277.01	24.7126	0.200316
Gohir.A02G152800	1595	1410.01	17	0.124801
Gohir.D04G126700	2004	1819.01	23.5124	0.133799
Gohir.D08G175150	399	216.8	0	0
Gohir.A10G180800	858	673.013	1	0.0153804
Gohir.D05G200300	2414	2229.01	293.146	1.36133
Gohir.A06G184200	1632	1447.01	0	0
Gohir.A05G174300	1908	1723.01	201.996	1.21352
Gohir.D03G099501	1705	1520.01	369.965	2.51945
Gohir.D05G379600	763	578.013	0	0
Gohir.A13G096100	2329	2144.01	35.5566	0.171666
Gohir.A06G171600	3763	3578.01	55.8767	0.161652
Gohir.D02G060700	911	726.013	14	0.199607
Gohir.A11G063866	998	813.013	19.1012	0.243195
Gohir.D04G130600	1233	1048.01	59.4039	0.586732
Gohir.A13G202000	1652	1467.01	8.2603	0.0582845
Gohir.D12G051200	2062	1877.01	803.357	4.4303
Gohir.A07G093500	746	561.013	0	0
Gohir.D08G032600	1356	1171.01	5518.62	48.7821
Gohir.A05G202800	3483	3298.01	52.6601	0.16528
Gohir.A05G058000	1462	1277.01	0	0
Gohir.D10G105201	573	388.265	0	0
Gohir.A09G089932	2542	2357.01	0	0
Gohir.A05G343600	3502	3317.01	317.803	0.991749
Gohir.D05G352900	1899	1714.01	21.7972	0.131637
Gohir.A12G080900	1402	1217.01	0	0
Gohir.D11G305800	923	738.013	16	0.224413
Gohir.A02G027600	1729	1544.01	95.0302	0.637092
Gohir.A11G314300	1726	1541.01	0	0
Gohir.D11G004801	690	505.013	1514.74	31.0477
Gohir.D09G135200	932	747.013	8	0.110855
Gohir.D09G152550	234	75.8442	20.1233	2.74643
Gohir.A12G037300	1127	942.013	18.6785	0.205247
Gohir.A11G282669	210	60.1222	0	0
Gohir.A09G096001	954	769.013	1.08507	0.0146054
Gohir.D05G116800	1456	1271.01	0	0
Gohir.D04G102100	2214	2029.01	99.9476	0.509893
Gohir.A12G037100	2141	1956.01	20.9314	0.110769
Gohir.D01G033132	965	780.013	0	0
Gohir.D05G087500	3297	3112.01	1226.73	4.08035
Gohir.A13G148700	3982	3797.01	10.2868	0.0280435
Gohir.D11G222014	204	56.3683	0	0
Gohir.D05G073700	1672	1487.01	3710.44	25.8287
Gohir.A01G181400	2148	1963.01	160	0.843701
Gohir.D08G202400	1665	1480.01	94.363	0.659975
Gohir.D08G027900	2146	1961.01	689.21	3.638
Gohir.D01G152650	321	144.716	0	0
Gohir.A04G102000	1294	1109.01	0	0
Gohir.A09G028700	2906	2721.01	13.2274	0.0503194
Gohir.D04G014900	4474	4289.01	1164	2.80923
Gohir.D08G215800	3557	3372.01	430.943	1.32289
Gohir.A03G119500	1075	890.013	0	0
Gohir.D13G179600	1663	1478.01	1263	8.84538
Gohir.D01G110200	667	482.028	2.40213	0.0515841
Gohir.A08G049100	2398	2213.01	7.13674	0.0333816
Gohir.A08G026720	1404	1219.01	46.1307	0.391718
Gohir.A09G018600	607	422.213	0	0
Gohir.D13G138200	4807	4622.01	614	1.37508
Gohir.D10G222144	776	591.013	0	0
Gohir.D13G000200	2424	2239.01	564.015	2.60751
Gohir.D08G154100	1210	1025.01	184.898	1.86722
Gohir.A05G040300	2654	2469.01	2.09331	0.00877612
Gohir.D11G225400	2940	2755.01	339.299	1.27482
Gohir.D13G110600	1750	1565.01	4	0.0264566
Gohir.D09G116300	1621	1436.01	235	1.69395
Gohir.A12G158300	552	367.399	0	0
Gohir.D08G183100	1151	966.013	2811.86	30.1302
Gohir.A07G112600	1168	983.013	13	0.136891
Gohir.D07G002950	2991	2806.01	2	0.00737788
Gohir.D08G117301	581	396.252	0	0
Gohir.A11G268900	1213	1028.01	1.04864	0.0105589
Gohir.A01G086600	4737	4552.01	22.3437	0.0508094
Gohir.A10G183300	1312	1127.01	11.2719	0.103529
Gohir.D11G048300	1848	1663.01	1	0.00622438
Gohir.A04G087700	1649	1464.01	30.6111	0.216434
Gohir.D05G185900	2624	2439.01	104.323	0.44275
Gohir.A11G229100	3899	3714.01	135.039	0.376364
Gohir.D12G269000	3894	3709.01	382.997	1.06888
Gohir.A11G320500	1386	1201.01	122	1.05149
Gohir.A05G100500	4117	3932.01	60.0313	0.158035
Gohir.D01G016984	1495	1310.01	0	0
Gohir.D10G076300	966	781.013	261.902	3.47114
Gohir.A13G130701	838	653.013	0	0
Gohir.D13G046300	2125	1940.01	611.999	3.26541
Gohir.A11G175000	2374	2189.01	66.7732	0.315751
Gohir.A11G072400	1771	1586.01	74.3001	0.484925
Gohir.A01G195400	1123	938.013	223.039	2.4613
Gohir.A05G261900	2342	2157.01	8.934	0.0428731
Gohir.A10G138500	1358	1173.01	1.03873	0.00916623
Gohir.D08G201300	2935	2750.01	619.475	2.33174
Gohir.D10G039300	1040	855.013	481.753	5.83235
Gohir.D07G196232	1671	1486.01	10.4489	0.0727847
Gohir.D10G014500	1698	1513.01	1.0365	0.00709118
Gohir.D12G255375	1398	1213.01	210	1.79203
Gohir.D13G027080	576	391.252	2	0.0529133
Gohir.D07G057300	4750	4565.01	1377.13	3.12265
Gohir.A13G112000	1725	1540.01	0	0
Gohir.A12G017600	2481	2296.01	498.95	2.24944
Gohir.D11G313200	2766	2581.01	55	0.220579
Gohir.A10G066900	1503	1318.01	59.1154	0.464272
Gohir.A04G044600	3609	3424.01	0	0
Gohir.D01G110400	1302	1117.01	1	0.00926688
Gohir.D07G218000	2147	1962.01	139	0.733339
Gohir.D05G208000	2255	2070.01	25	0.125014
Gohir.D10G232100	6017	5832.01	54.4431	0.0966309
Gohir.A09G215400	967	782.013	40	0.529466
Gohir.A12G080200	228	71.6488	61	8.81277
Gohir.D05G082400	1553	1368.01	523.023	3.95751
Gohir.A10G191900	3019	2834.01	36.5623	0.133544
Gohir.D12G072500	936	751.013	953.183	13.1377
Gohir.A06G176500	437	253.502	0	0
Gohir.D01G077400	1648	1463.01	515.416	3.64671
Gohir.D01G118400	622	437.13	32	0.757758
Gohir.D08G063700	2024	1839.01	157.477	0.886388
Gohir.D11G121600	6557	6372.01	1108.64	1.80096
Gohir.A09G175450	1936	1751.01	67.5941	0.399587
Gohir.A09G112200	1954	1769.01	5.43696	0.0318139
Gohir.A05G107600	938	753.013	50.8156	0.698531
Gohir.D12G021000	3385	3200.01	701.151	2.26804
Gohir.D10G117701	1838	1653.01	41.2514	0.258318
Gohir.D06G063600	830	645.013	12.052	0.193412
Gohir.A01G070200	601	416.226	15.6982	0.390402
Gohir.A05G250400	2336	2151.01	110.381	0.53118
Gohir.A10G044000	2230	2045.01	44.0523	0.222979
Gohir.D10G101400	1362	1177.01	547	4.81058
Gohir.A08G221650	1275	1090.01	0	0
Gohir.A05G240200	1429	1244.01	1.04507	0.00869584
Gohir.A13G178500	3187	3002.01	22.7038	0.078285
Gohir.A02G069100	2558	2373.01	5.21982	0.0227692
Gohir.A02G066800	2473	2288.01	0	0
Gohir.A08G060250	287	115.929	52	4.64306
Gohir.A03G134700	1085	900.013	0	0
Gohir.D09G084101	554	369.399	22	0.61648
Gohir.D07G185600	2968	2783.01	443.783	1.65062
Gohir.A11G011900	1073	888.013	21.1634	0.246694
Gohir.D06G083833	237	77.8516	9.57329	1.27287
Gohir.A06G077950	1034	849.013	1.23694	0.0150808
Gohir.A11G234500	2144	1959.01	347.62	1.83679
Gohir.A01G205700	1461	1276.01	0	0
Gohir.A13G190300	2081	1896.01	1	0.00545947
Gohir.D07G111750	1639	1454.01	14	0.099667
Gohir.D01G026700	869	684.013	520.841	7.88193
Gohir.A11G183800	1975	1790.01	2.81254	0.0162642
Gohir.A11G273100	1689	1504.01	0	0
Gohir.A03G123500	1437	1252.01	5.27132	0.0435815
Gohir.D05G336340	1512	1327.01	690.626	5.38715
Gohir.D03G009100	462	278.037	219.278	8.16365
Gohir.A06G136600	897	712.013	5.40915	0.078638
Gohir.D09G157000	888	703.013	2549	37.5317
Gohir.D04G099600	2034	1849.01	499.255	2.79495
Gohir.D08G151866	519	334.466	74.2305	2.29732
Gohir.D11G084500	1902	1717.01	112.578	0.678691
Gohir.D05G198900	2638	2453.01	660.054	2.78529
Gohir.A07G072900	1655	1470.01	90.794	0.639334
Gohir.A12G098200	546	361.41	0	0
Gohir.D06G175308	402	219.688	1	0.0471178
Gohir.D10G118700	1089	904.013	0	0
Gohir.D09G094400	2011	1826.01	56.0155	0.317538
Gohir.A12G146000	1812	1627.01	12.271	0.0780695
Gohir.A03G198800	963	778.013	1.00864	0.0134196
Gohir.A11G104500	2132	1947.01	7.3877	0.0392765
Gohir.D10G153065	864	679.013	0	0
Gohir.D02G105800	1905	1720.01	1642.51	9.8848
Gohir.D13G185600	1748	1563.01	35	0.231791
Gohir.A11G286282	1734	1549.01	0	0
Gohir.A01G216800	2223	2038.01	31.006	0.157482
Gohir.D10G043800	1456	1271.01	210.646	1.71551
Gohir.A12G036900	2050	1865.01	7.37387	0.0409265
Gohir.A05G287900	2402	2217.01	56.4628	0.263624
Gohir.A10G040200	1583	1398.01	20.2916	0.150244
Gohir.A07G117900	1941	1756.01	0	0
Gohir.D08G211201	1244	1059.01	296.686	2.89993
Gohir.D11G083300	1667	1482.01	508.825	3.55392
Gohir.D01G065700	956	771.013	420.919	5.65104
Gohir.D05G176100	1949	1764.01	0	0
Gohir.A11G241900	678	493.013	0	0
Gohir.D10G253900	1615	1430.01	13	0.0941012
Gohir.D06G035000	438	254.502	0	0
Gohir.A03G000040	231	73.7235	0	0
Gohir.A06G046900	1453	1268.01	3.50552	0.0286168
Gohir.A01G079000	894	709.013	10.5143	0.153504
Gohir.D06G125800	1235	1050.01	11339.2	111.784
Gohir.D02G059700	2848	2663.01	0	0
Gohir.A11G127600	2783	2598.01	442.623	1.76354
Gohir.A02G043601	1842	1657.01	0	0
Gohir.D12G261700	567	382.338	0	0
Gohir.D09G031600	417	234.047	0	0
Gohir.A07G186700	779	594.013	1.31388	0.0228955
Gohir.A07G150100	1702	1517.01	14.4935	0.0988955
Gohir.D13G108200	2566	2381.01	65.1693	0.283317
Gohir.D10G231932	429	245.717	0	0
Gohir.A05G215900	1784	1599.01	7.61455	0.0492929
Gohir.D01G023541	2641	2456.01	2465.51	10.3912
Gohir.A13G167500	745	560.013	0	0
Gohir.A11G201100	1600	1415.01	11.2766	0.0824917
Gohir.D04G176414	330	152.752	1	0.067765
Gohir.D01G026020	2484	2299.01	4	0.0180099
Gohir.A07G141550	375	193.971	0	0
Gohir.A13G024100	755	570.013	226.538	4.11384
Gohir.A07G082100	2461	2276.01	60.9209	0.277066
Gohir.A12G015000	2107	1922.01	74.3586	0.400467
Gohir.D04G153200	777	592.013	5	0.087424
Gohir.A02G139200	1082	897.013	6.61453	0.0763294
Gohir.A08G144100	1600	1415.01	25.8992	0.18946
Gohir.A05G202550	234	75.8442	0	0
Gohir.D04G036800	1675	1490.01	4	0.0277883
Gohir.D01G029000	950	765.013	56.8413	0.769107
Gohir.A11G229600	1266	1081.01	32.6872	0.312996
Gohir.A09G059300	941	756.013	0	0
Gohir.D10G164601	1275	1090.01	13.2549	0.125874
Gohir.D05G365700	921	736.013	181.844	2.55744
Gohir.A12G016966	1925	1740.01	86.871	0.51679
Gohir.D12G146150	1426	1241.01	2.02578	0.0168969
Gohir.A06G082880	1536	1351.01	5.42922	0.0415977
Gohir.A04G114900	1159	974.013	8	0.0850192
Gohir.A07G100700	362	181.919	0	0
Gohir.A07G058200	2551	2366.01	335.504	1.46782
Gohir.A11G004400	583	398.252	0	0
Gohir.A11G301700	2927	2742.01	34.3381	0.129628
Gohir.A07G076550	1873	1688.01	224.393	1.37602
Gohir.D11G046280	578	393.252	159.365	4.19482
Gohir.D12G133232	540	355.422	92	2.67939
Gohir.A01G011600	2091	1906.01	54.4882	0.295916
Gohir.D01G062600	1042	857.013	556.55	6.72215
Gohir.D06G014450	420	236.972	4	0.174725
Gohir.A07G196900	562	377.375	0	0
Gohir.A01G225700	1716	1531.01	11.7342	0.0793353
Gohir.A10G087250	657	472.043	0	0
Gohir.D02G011800	1003	818.013	366.608	4.6391
Gohir.D01G042774	93	11.3951	1	0.908391
Gohir.D04G162300	3791	3606.01	6891.77	19.7831
Gohir.A10G099000	834	649.013	0	0
Gohir.D08G175050	769	584.013	82.3132	1.45894
Gohir.A08G082862	1359	1174.01	19.4069	0.17111
Gohir.D05G056900	927	742.013	44.1947	0.616525
Gohir.A05G297200	2773	2588.01	2.07025	0.00828035
Gohir.A10G040100	1593	1408.01	4.45596	0.0327587
Gohir.D13G219000	1980	1795.01	1719.08	9.91332
Gohir.D08G067000	1968	1783.01	282.618	1.64073
Gohir.D08G210100	1413	1228.01	107.109	0.902848
Gohir.D07G056200	2973	2788.01	2331.06	8.65466
Gohir.A08G101048	1572	1387.01	0	0
Gohir.D13G142100	1424	1239.01	137.096	1.14535
Gohir.A06G163300	3023	2838.01	10.195	0.0371847
Gohir.D08G069400	2551	2366.01	361.619	1.58207
Gohir.A05G072300	2194	2009.01	204.646	1.05442
Gohir.D05G332188	351	171.892	0	0
Gohir.D04G185500	1056	871.013	0	0
Gohir.A07G210200	2215	2030.01	0	0
Gohir.D03G091200	1342	1157.01	165.084	1.47692
Gohir.D11G218000	1477	1292.01	109	0.873275
Gohir.A06G025900	1680	1495.01	0	0
Gohir.D01G186200	602	417.213	0	0
Gohir.D02G020550	348	169.188	0	0
Gohir.D13G057801	4668	4483.01	39	0.0900505
Gohir.D04G087100	1437	1252.01	318.605	2.63412
Gohir.A03G075000	2229	2044.01	6.12662	0.0310262
Gohir.A02G145200	1914	1729.01	0	0
Gohir.A05G339200	3285	3100.01	6.61181	0.0220774
Gohir.D08G083700	4014	3829.01	845.282	2.2851
Gohir.D05G328740	351	171.892	0	0
Gohir.D05G094000	2780	2595.01	145.563	0.580636
Gohir.D03G034000	1611	1426.01	828.843	6.01645
Gohir.D01G154266	2144	1959.01	46.9507	0.248082
Gohir.D03G053900	1969	1784.01	1978.95	11.4823
Gohir.D12G023900	2867	2682.01	53.6389	0.207019
Gohir.A11G086300	2042	1857.01	86.6611	0.48306
Gohir.A02G165400	1070	885.013	6	0.0701768
Gohir.A07G084000	1335	1150.01	1.07918	0.00971362
Gohir.A12G112100	6276	6091.01	1139.63	1.93671
Gohir.A12G142700	1812	1627.01	28.7764	0.183078
Gohir.A01G078100	4189	4004.01	8.74393	0.0226049
Gohir.D05G327200	1530	1345.01	5.2551	0.0404433
Gohir.A01G088400	1104	919.013	0	0
Gohir.A06G065650	570	385.302	0	0
Gohir.A08G113000	1617	1432.01	4.59361	0.0332046
Gohir.D07G104350	354	174.638	3	0.177818
Gohir.D13G155000	1116	931.013	3225.78	35.865
Gohir.D11G131300	1524	1339.01	12	0.0927658
Gohir.A04G078300	1667	1482.01	0	0
Gohir.A11G077900	1731	1546.01	29.3721	0.196659
Gohir.A13G032800	961	776.013	0	0
Gohir.D04G173180	675	490.013	0	0
Gohir.A05G026300	5376	5191.01	93.7642	0.186972
Gohir.A03G132200	2029	1844.01	2.03883	0.0114448
Gohir.D01G044300	2424	2239.01	417.975	1.93235
Gohir.A06G068800	2674	2489.01	1.18308	0.00492017
Gohir.D07G197600	480	295.762	24.741	0.865898
Gohir.A04G004400	1711	1526.01	4.49554	0.0304941
Gohir.D07G056700	1602	1417.01	288.37	2.10653
Gohir.A04G068900	961	776.013	0	0
Gohir.D04G090900	839	654.013	1603	25.3711
Gohir.A11G267400	1708	1523.01	27.7715	0.18875
Gohir.D04G065500	1486	1301.01	276.237	2.19781
Gohir.A08G187250	546	361.41	2	0.0572824
Gohir.D10G084200	1593	1408.01	430.477	3.16472
Gohir.A03G190700	519	334.466	0	0
Gohir.A09G214300	1236	1051.01	0	0
Gohir.A13G167300	2437	2252.01	4.11899	0.0189326
Gohir.A11G044500	1038	853.013	4.07315	0.0494272
Gohir.D06G199500	1637	1452.01	62.9083	0.448466
Gohir.D12G039100	1374	1189.01	3	0.0261172
Gohir.D05G191300	2953	2768.01	1974.04	7.38208
Gohir.A03G151200	907	722.013	81.2471	1.16481
Gohir.A06G137802	457	273.143	9.05703	0.343232
Gohir.D11G195400	3544	3359.01	306.792	0.945417
Gohir.A10G241520	3152	2967.01	24.0972	0.0840695
Gohir.D07G187500	1419	1234.01	0	0
Gohir.D04G029300	2355	2170.01	197.708	0.943089
Gohir.A05G265000	153	29.9786	0	0
Gohir.A07G104650	2951	2766.01	1.11753	0.00418212
Gohir.A09G002000	1378	1193.01	0	0
Gohir.D02G106700	3373	3188.01	338.157	1.09797
Gohir.D08G095100	1137	952.013	0	0
Gohir.A13G199800	1497	1312.01	64.5465	0.509244
Gohir.A02G148000	685	500.013	0	0
Gohir.D13G126200	1925	1740.01	0	0
Gohir.A03G028001	717	532.013	0	0
Gohir.D02G231601	660	475.043	8	0.17432
Gohir.A03G166900	1022	837.013	0	0
Gohir.A01G139500	952	767.013	24.2544	0.327325
Gohir.D05G136700	3431	3246.01	313.433	0.999508
Gohir.A01G179666	568	383.326	0	0
Gohir.A13G122266	1352	1167.01	0	0
Gohir.A13G221400	1308	1123.01	1	0.00921737
Gohir.A06G120304	1671	1486.01	45.0556	0.313847
Gohir.D13G029900	3193	3008.01	722.211	2.48528
Gohir.D05G385000	3322	3137.01	750.136	2.47523
Gohir.A08G059750	486	301.676	0	0
Gohir.D07G028100	2078	1893.01	0	0
Gohir.A10G092900	2645	2460.01	12.7347	0.053585
Gohir.D10G005266	1034	849.013	0	0
Gohir.D03G161200	1182	997.013	1	0.0103822
Gohir.A13G082800	1873	1688.01	1	0.00613219
Gohir.D07G016800	780	595.013	80	1.39173
Gohir.A07G012000	2156	1971.01	80.2778	0.421597
Gohir.D03G090100	2685	2500.01	488.615	2.02309
Gohir.A01G018700	3910	3725.01	0	0
Gohir.A01G092600	2466	2281.01	20.9314	0.0949868
Gohir.A03G055900	1242	1057.01	2.10002	0.0205653
Gohir.A03G192300	360	180.054	0	0
Gohir.A06G119700	1989	1804.01	5.58188	0.0320282
Gohir.D13G142500	2157	1972.01	268	1.40675
Gohir.D03G061703	327	150.017	0	0
Gohir.D05G328920	339	161.045	0	0
